Zylutė, vaikų kiekis: 25, tuščios vietos: 7
Žirmūnėliai, vaikų kiekis: 2, tuščios vietos: 2
Žilvitis, vaikų kiekis: 42, tuščios vietos: 3
Žiburėlis, vaikų kiekis: 39, tuščios vietos: 3
Žemyna, vaikų kiekis: 69, tuščios vietos: 3
Voveraitė, vaikų kiekis: 81, tuščios vietos: 7
Volungė, vaikų kiekis: 99, tuščios vietos: 8
Vilniaus Naujininkų mokykla, vaikų kiekis: 11, tuščios vietos: 4
Vilniaus „Vilties“ specialioji mokykla-daugiafunkcinis centras, vaikų kiekis: 9, tuščios vietos: 3
Vilkpėdės, vaikų kiekis: 23, tuščios vietos: 3
Vaidilutė, vaikų kiekis: 61, tuščios vietos: 3
Šypsena, vaikų kiekis: 21, tuščios vietos: 2
Svaja, vaikų kiekis: 39, tuščios vietos: 2
Spygliukas, vaikų kiekis: 22, tuščios vietos: 4
Skroblinukas, vaikų kiekis: 39, tuščios vietos: 3
Saulėgrąža, vaikų kiekis: 64, tuščios vietos: 2
Šaltinėlis, vaikų kiekis: 55, tuščios vietos: 3
Sakalėlis, vaikų kiekis: 46, tuščios vietos: 6
Rytas, vaikų kiekis: 45, tuščios vietos: 2
Rugelis, vaikų kiekis: 20, tuščios vietos: 4
Rasa, vaikų kiekis: 22, tuščios vietos: 4
Ramunėlė, vaikų kiekis: 21, tuščios vietos: 3
Pumpurėlis, vaikų kiekis: 63, tuščios vietos: 5
Prie pasakų parko, vaikų kiekis: 37, tuščios vietos: 6
Pakalnutė, vaikų kiekis: 2, tuščios vietos: 4
Naminukas (Smėlio g. 13), vaikų kiekis: 60, tuščios vietos: 7
Molinukas, vaikų kiekis: 1, tuščios vietos: 2
Medynėlis, vaikų kiekis: 21, tuščios vietos: 3
Lokiuko giraitė, vaikų kiekis: 1, tuščios vietos: 4
Liepsnelė, vaikų kiekis: 22, tuščios vietos: 6
Lazdynų mokykla, vaikų kiekis: 18, tuščios vietos: 3
Lašelis, vaikų kiekis: 47, tuščios vietos: 7
Lakštingala, vaikų kiekis: 5, tuščios vietos: 2
Kurpaitė, vaikų kiekis: 17, tuščios vietos: 3
Kodėlčiukas, vaikų kiekis: 45, tuščios vietos: 3
Kaštonas, vaikų kiekis: 25, tuščios vietos: 3
Karusėlė, vaikų kiekis: 87, tuščios vietos: 8
Justinukas, vaikų kiekis: 107, tuščios vietos: 2
Jovarėlis, vaikų kiekis: 14, tuščios vietos: 3
Gervelė (Stadiono g. 5), vaikų kiekis: 70, tuščios vietos: 8
Geniukų kalvė, vaikų kiekis: 48, tuščios vietos: 3
Gelvonėlis, vaikų kiekis: 25, tuščios vietos: 4
Drevinukas, vaikų kiekis: 11, tuščios vietos: 3
Daigelis, vaikų kiekis: 38, tuščios vietos: 4
Beržynėlis, vaikų kiekis: 3, tuščios vietos: 3
Bangelė, vaikų kiekis: 24, tuščios vietos: 4
Atžalėlės, vaikų kiekis: 20, tuščios vietos: 4
